rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,pl_name,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_mnum,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,gaia_pmra,gaia_pmraerr,gaia_pmralim,gaia_pmdec,gaia_pmdecerr,gaia_pmdeclim,gaia_pm,gaia_pmerr,gaia_pmlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfeblend,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsiniblend,st_acts,st_actserr,st_actslim,st_actsblend,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend,st_uj,st_ujerr,st_ujlim,st_ujblend,st_vj,st_vjerr,st_vjlim,st_vjblend,st_bj,st_bjerr,st_bjlim,st_bjblend,st_rc,st_rcerr,st_rclim,st_rcblend,st_ic,st_icerr,st_iclim,st_icblend,st_j,st_jerr,st_jlim,st_jblend,st_h,st_herr,st_hlim,st_hblend,st_k,st_kerr,st_klim,st_kblend,st_wise1,st_wise1err,st_wise1lim,st_wise1blend,st_wise2,st_wise2err,st_wise2lim,st_wise2blend,st_wise3,st_wise3err,st_wise3lim,st_wise3blend,st_wise4,st_wise4err,st_wise4lim,st_wise4blend,st_irac1,st_irac1err,st_irac1lim,st_irac1blend,st_irac2,st_irac2err,st_irac2lim,st_irac2blend,st_irac3,st_irac3err,st_irac3lim,st_irac3blend,st_irac4,st_irac4err,st_irac4lim,st_irac4blend
1350,Kepler-1304,b,1,16.12888530,0.00011910,-0.00011910,0,,,,,,,,,0.204,0.017,-0.047,0,285.276428,39.446916,682.00,49.28,-44.95,0,15.022,,0,0,Kepler-band,,,,5259.00,97.24,-121.88,0,0,0.85,0.04,-0.05,0,0,0.81,0.05,-0.05,0,0,Kepler-1304 b,,,,,2.290,0.190,-0.530,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,0.03,-0.06,0,0,,,,,0,-0.050,0.151,-0.164,0,0,4.680,5.940,-2.920,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.604,0.028,0,0,13.157,0.036,0,0,13.054,0.032,0,0,13.012,0.024,0,0,13.046,0.025,0,0,12.530,,-1,0,8.666,,-1,0,,,,,,,,,,,,,,,,
1351,Kepler-1305,b,1,13.56309720,0.00013850,-0.00013850,0,,,,,,,,,0.168,0.031,-0.017,0,297.339446,46.347252,1343.00,235.66,-139.15,0,15.785,,0,0,Kepler-band,,,,5701.00,138.16,-175.79,0,0,0.97,0.06,-0.06,0,0,0.96,0.17,-0.09,0,0,Kepler-1305 b,,,,,1.880,0.350,-0.190,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,0.07,-0.14,0,0,,,,,0,0.010,0.120,-0.160,0,0,4.370,3.860,-2.610,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.493,0.028,0,0,14.101,0.030,0,0,14.104,0.058,0,0,14.034,0.026,0,0,14.035,0.035,0,0,12.733,,-1,0,9.472,,-1,0,,,,,,,,,,,,,,,,
1352,Kepler-1306,b,1,16.29595382,0.00007404,-0.00007404,0,,,,,,,,,0.170,0.040,-0.016,0,294.478341,46.945862,1130.00,260.75,-108.74,0,15.243,,0,0,Kepler-band,,,,5727.00,140.59,-132.91,0,0,0.98,0.07,-0.06,0,0,0.97,0.22,-0.09,0,0,Kepler-1306 b,,,,,1.910,0.450,-0.180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,0.07,-0.17,0,0,,,,,0,0.000,0.130,-0.172,0,0,4.570,3.900,-2.800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.052,0.029,0,0,13.688,0.031,0,0,13.631,0.046,0,0,13.593,0.024,0,0,13.655,0.027,0,0,13.272,,-1,0,9.698,,-1,0,,,,,,,,,,,,,,,,
1353,Kepler-1307,b,1,18.01621096,0.00009522,-0.00009522,0,,,,,,,,,0.220,0.059,-0.024,0,292.869840,46.741859,1396.00,366.01,-147.88,0,15.394,,0,0,Kepler-band,,,,5884.00,77.63,-103.16,0,0,1.06,0.07,-0.06,0,0,1.08,0.29,-0.11,0,0,Kepler-1307 b,,,,,2.470,0.660,-0.270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,0.08,-0.18,0,0,,,,,0,0.060,0.145,-0.147,0,0,4.070,2.320,-2.290,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.171,0.028,0,0,13.885,0.032,0,0,13.878,0.064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,Kepler-1308,b,1,2.10433812,0.00000424,-0.00000424,0,,,,,,,,,0.046,0.005,-0.004,0,285.928896,38.520962,73.00,7.38,-7.51,0,14.488,,0,0,Kepler-band,,,,3468.00,33.65,-30.71,0,0,0.35,0.04,-0.04,0,0,0.34,0.03,-0.03,0,0,Kepler-1308 b,,,,,0.520,0.060,-0.050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,0.04,-0.03,0,0,,,,,0,-0.130,0.078,-0.074,0,0,3.720,5.970,-2.130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.878,0.022,0,0,11.240,0.021,0,0,11.023,0.018,0,0,10.862,0.023,0,0,10.800,0.020,0,0,10.617,0.068,0,0,9.358,,-1,0,,,,,,,,,,,,,,,,
1355,Kepler-1309,b,1,28.84326470,0.00026520,-0.00026520,0,,,,,,,,,0.211,0.018,-0.018,0,298.735235,40.764155,845.00,62.94,-61.48,0,15.652,,0,0,Kepler-band,,,,5235.00,99.72,-154.88,0,0,0.85,0.05,-0.05,0,0,0.80,0.06,-0.05,0,0,Kepler-1309 b,,,,,2.370,0.200,-0.200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,0.04,-0.06,0,0,,,,,0,-0.030,0.162,-0.170,0,0,4.270,6.160,-2.600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.141,0.033,0,1,13.674,0.038,0,0,13.542,0.039,0,1,13.349,0.025,0,1,13.440,0.029,0,1,11.713,0.251,0,0,9.043,,-1,0,,,,,,,,,,,,,,,,
1356,Kepler-131,b,2,16.09200000,,,0,,,,,0.05100,0.01100,-0.01100,0,0.215,0.018,-0.018,0,288.530825,40.942304,,,,,11.525,,0,0,Kepler-band,,,,5685.00,74.00,-74.00,0,0,1.02,0.06,-0.06,0,0,1.03,0.10,-0.10,0,0,Kepler-131 b,0.05100,0.01100,-0.01100,0,2.410,0.200,-0.200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,0.08,-0.08,0,0,,,,,,0.120,0.070,-0.070,0,0,3.660,,,0,0.4000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.418,0.022,0,0,10.127,0.022,0,0,10.079,0.017,0,0,10.024,0.023,0,0,10.075,0.020,0,0,10.082,0.045,0,0,9.273,,-1,0,,,,,,,,,,,,,,,,
1357,Kepler-131,c,2,25.51690000,,,0,,,,,0.02600,0.01900,-0.01900,0,0.075,0.006,-0.006,0,288.530825,40.942304,,,,,11.525,,0,0,Kepler-band,,,,5685.00,74.00,-74.00,0,0,1.02,0.06,-0.06,0,0,1.03,0.10,-0.10,0,0,Kepler-131 c,0.02600,0.01900,-0.01900,0,0.840,0.070,-0.070,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,0.08,-0.08,0,0,,,,,,0.120,0.070,-0.070,0,0,3.660,,,0,0.4000,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.418,0.022,0,0,10.127,0.022,0,0,10.079,0.017,0,0,10.024,0.023,0,0,10.075,0.020,0,0,10.082,0.045,0,0,9.273,,-1,0,,,,,,,,,,,,,,,,
1358,Kepler-1310,b,1,0.67933627,0.00000072,-0.00000072,0,,,,,,,,,0.128,0.014,-0.011,0,283.920035,40.740123,583.00,62.38,-50.12,0,14.159,,0,0,Kepler-band,,,,5549.00,136.60,-124.53,0,0,0.91,0.05,-0.06,0,0,0.88,0.10,-0.07,0,0,Kepler-1310 b,,,,,1.440,0.160,-0.120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,0.05,-0.10,0,0,,,,,0,-0.070,0.151,-0.183,0,0,4.170,5.360,-2.490,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.912,0.022,0,0,12.516,0.019,0,0,12.436,0.021,0,0,12.447,0.023,0,0,12.492,0.024,0,0,12.473,0.319,0,0,9.425,,-1,0,,,,,,,,,,,,,,,,
1359,Kepler-1311,b,2,11.17269940,0.00013870,-0.00013870,0,,,,,,,,,0.111,0.022,-0.023,0,289.651263,43.824417,705.00,150.27,-148.60,0,13.349,,0,0,Kepler-band,,,,5748.00,87.26,-72.30,0,0,1.05,0.08,-0.06,0,0,1.40,0.30,-0.30,0,0,Kepler-1311 b,,,,,1.240,0.250,-0.260,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,0.18,-0.14,0,0,,,,,0,0.090,0.101,-0.073,0,0,7.590,1.700,-2.060,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.169,0.025,0,0,11.859,0.019,0,0,11.825,0.013,0,0,11.808,0.023,0,1,11.839,0.021,0,0,11.886,0.182,0,0,9.301,,-1,0,,,,,,,,,,,,,,,,
